id,File Name,Ground Truth Script,SR Transcript,Ground Truth Length,RR_SR Transcript Length,RR_correct tokens,RR_Substitutions,RR_Insertions,RR_Deletions,RR_Deleted,RR_substituted,RR_Accuracy,RR_WER,ORR Transcript Length,ORcorrect tokens,OR_Substitutions,ORInsertions,OR_Deletions,OR_Accuracy,OR_WER,gender,accent,native,country
1,29d405z8_Script01.wav,Put this blue block on the table Grab the block you just put on the table Place it there Take the yellow block and place it next to it Take one more block Put it on the top of those two blocks Stop you are done,put this Blue Block on the table grab the block you just put on the table place it there take the Yellow Block and place it next to it take one more block put it on top of those two blocks stop you are done,46,45,45,0,0,1,,,0.97,0.0217391,45,45,0,0,1,0.97,0.02173913,Female,eastrenEnglish,English,US
2,29d405z8_Script02.wav,Go there Grasp this purple block Now put it in front of the cup Pick up the block that you just put down Now move that block and put it on top of these boxes Wait Move it more this way to the left Stop,go their grasp this purple block now put it in front of the cup pick up the block that you just put down now move that block and put it on top of these boxes weight move it more this way to the left Stop,45,45,43,2,0,0,,,0.95,0.0666667,45,42,3,0,0,0.93,0.06666667,Female,eastrenEnglish,English,US
3,29d405z8_Script3.wav,Take that red block Grab it and place it above these brown blocks Turn the block that is beside the white block to the right Never mind Take that block and put it behind the blue block That is enough,Take that red block Grab it and place it above these brown blocks Turn the block that is beside the white block to the right Never mind Take that block and put it behind the blue block That is enough,40,45,8,0,0,0,,,1,0.025,40,39,1,0,0,0.97,0.025,Female,eastrenEnglish,English,US
4,29d405z8_Script03.wav,Take that red block Grab it and place it above these brown blocks Turn the block that is beside the white block to the right Never mind Take that block and put it behind the blue block That is enough,take that red block grab it and place it above these Brown blocks turn the block that is beside the white block to the right never mind take that block and put it behind the Blue Block that is enough,40,40,40,0,0,0,,,1,0.0465116,43,41,2,0,0,0.95,0.046511628,Female,eastrenEnglish,English,US
5,29d405z8_Script5.wav,There take that green plate and put it to the left of that mug OK scoot it back toward me Now push that glass behind that bottle there Now you're going to take this knife and drop it in the glass,they're take that green plate and put it to the left of that mug okay scoot it back toward me now push that glass behind that bottle there now you're going to take this nice and drop it in the glass,41,41,38,3,0,0,,,0.92,0.0731707,41,38,3,0,0,0.92,0.07317073,Female,eastrenEnglish,English,US
6,29d3e1d8_Script01.wav,Put this blue block on the table Grab the block you just put on the table Place it there Take the yellow block and place it next to it Take one more block Put it on the top of those two blocks Stop you are done,put this Blue Block on the table grab the block you just put on the table place it there take the Yellow Block and play sit next to it take one more block put it on top of those two blocks stop you are done,46,45,43,2,0,1,,,0.93,0.043478,45,43,1,0,1,0.95,0.043478,Male,GeneralAmerican,English,US
7,29d3e1d8_Script02.wav,Go there Grasp this purple block Now put it in front of the cup Pick up the block that you just put down Now move that block and put it on top of these boxes Wait Move it more this way to the left Stop,go their grasp this purple block now put it in front of the cup pick up the block that you just put down now move that block and put it on top of these boxes wait move it more this way to the left Stop,45,45,44,1,0,0,,,0.97,0.02222,45,44,1,0,0,0.97,0.02222,Male,GeneralAmerican,English,US
8,29d3e1d8_Script03.wav,Take that red block Grab it and place it above these brown blocks Turn the block that is beside the white block to the right Never mind Take that block and put it behind the blue block That is enough,take that red block grab it and place it above these Brown blocks turn the block that is beside the white block to the right never mind take that block and put it behind the Blue Block that is enough,40,40,40,0,0,0,,,1,0.025,40,39,1,0,0,0.97,0.025,Male,GeneralAmerican,English,US
9,29d3e1d8_Script04.wav,OK turn left No your left Move the orange block to the right of that gray block Wait Grasp the black block Move it forward Put it next to that block Go here put this pink block between these ones That's pretty good,okay turn left no your left move the orange block to the right of that gray block weight rasp that black block move it forward put it next to that block go here put this pink block between these ones that's pretty good,43,43,39,4,0,0,,,0.9,0.46511,43,41,2,0,0,0.95,0.46511,Male,GeneralAmerican,English,US
10,29d3e1d8_Script05.wav,There take that green plate and put it to the left of that mug OK scoot it back toward me Now push that glass behind that bottle there Now you're going to take this knife and drop it in the glass,they're take that green plate and put it to the left of that mug okay scoot it back toward me now pushed eyeglass behind that bottle there now you're going to take this knife and drop it in the glass,41,40,36,4,0,1,,,0.87,0.3076923,40,29,4,0,1,0.74,0.30769232,Male,GeneralAmerican,English,US
11,29d3e43a_Script01.wav,Put this blue block on the table Grab the block you just put on the table Place it there Take the yellow block and place it next to it Take one more block Put it on the top of those two blocks Stop you are done,put this Blue Block on the table grab the block you just put on the table place it there take the Yellow Block and play sit next to it take one more block put it on the top of those two blocks. You are done,46,45,42,3,0,1,,,0.91,0.0869565,45,42,3,0,1,0.91,0.08695652,Female,GeneralAmerican,English,US
12,29d3e43a_Script02.wav,Go there Grasp this purple block Now put it in front of the cup Pick up the block that you just put down Now move that block and put it on top of these boxes Wait Move it more this way to the left Stop,go their grasp this purple block and put it in front of the cup pick up the blocks that you just put down the moves that block and put it on top of these boxes wait move it more this way to the left Stop,45,45,40,5,0,0,,,0.88,0.2666667,41,33,8,0,4,0.73,0.26666668,Female,GeneralAmerican,English,US
13,29d3e43a_Script03.wav,Take that red block Grab it and place it above these brown blocks Turn the block that is beside the white block to the right Never mind Take that block and put it behind the blue block That is enough,take that red block grab it and place it above these Brown blocks turn the blocks that is beside the white block to the right never mind take that block and put it behind the Blue Block that is enough,40,40,39,1,0,0,,,0.97,0.025,40,39,1,0,0,0.97,0.025,Female,GeneralAmerican,English,US
14,29d3e43a_Script04.wav,OK turn left No your left Move the orange block to the right of that gray block Wait Grasp the black block Move it forward Put it next to that block Go here put this pink block between these ones That's pretty good,okay turn left no your left move the orange block to the right of that gray block weight grasp the Black Block move it forward put it next to that block go here put this pink block between these ones that's pretty good,43,43,41,2,0,0,,,0.95,0.0697674,43,40,3,0,0,0.93,0.069767445,Female,GeneralAmerican,English,US
15,29d3e43a_Script05.wav,There take that green plate and put it to the left of that mug OK scoot it back toward me Now push that glass behind that bottle there Now you're going to take this knife and drop it in the glass,they're take that green plate and put it to the left of that mug okay scooted back toward me now push that class behind that bottle there now you're going to take this nice and drop it in the glass,41,40,35,5,0,1,,,0.85,0.1951219,40,33,7,0,1,0.8,0.19512194,Female,GeneralAmerican,English,US
16,29d3e598_Script01.wav,Put this blue block on the table Grab the block you just put on the table Place it there Take the yellow block and place it next to it Take one more block Put it on the top of those two blocks Stop you are done,what does Blue Block on the table grab the block you just put on the table blessed are the yellow block and play sit next to it take one more block put it on top of those two blocks stop you're done,46,42,35,7,0,4,,,0.76,0.2608696,42,34,8,0,4,0.73,0.26086956,Male,Indian,Tamil,India
17,29d3e598_Script02.wav,Go there Grasp this purple block Now put it in front of the cup Pick up the block that you just put down Now move that block and put it on top of these boxes Wait Move it more this way to the left Stop,go there this purple block now put it in front of the cup pick up the block. You just put down now that block and put it on top of these boxes move it more this way to the left Stop,45,41,40,1,0,4,,,0.88,0.1777778,40,37,3,0,5,0.82,0.17777778,Male,Indian,Tamil,India
18,29d3e598_Script03.wav,Take that red block Grab it and place it above these brown blocks Turn the block that is beside the white block to the right Never mind Take that block and put it behind the blue block That is enough,take that red block grab it and place it above this brown blocks turn the block that is beside the white block to the right never mind take that one and put it behind the Blue Block that's enough,40,39,36,3,0,1,,,0.9,0.2,36,32,4,0,4,0.8,0.2,Male,Indian,Tamil,India
19,29d3e598_Script04.wav,OK turn left No your left Move the orange block to the right of that gray block Wait Grasp the black block Move it forward Put it next to that block Go here put this pink block between these ones That's pretty good,okay turn left your left move the orange block to the right of that gray block graph the Black Block movie forward so that block go here for this pink block between these ones that's pretty good,43,37,32,5,0,6,,,0.74,0.372093,36,27,9,0,7,0.62,0.37209302,Male,Indian,Tamil,India
20,29d3e598_Script05.wav,There take that green plate and put it to the left of that mug OK scoot it back toward me Now push that glass behind that bottle there Now you're going to take this knife and drop it in the glass,they're big. Green plate and put it to the left of that mug okay back to it to me now put that glass behind that water there now we are going to take this knife and drop it in the glass,41,41,31,8,2,2,,,0.75,0.2926829,41,31,8,2,2,0.75,0.29268292,Male,Indian,Tamil,India
21,29d3e836_Script01.wav,Put this blue block on the table Grab the block you just put on the table Place it there Take the yellow block and place it next to it Take one more block Put it on the top of those two blocks Stop you are done,put this Blue Block on the table grab the block you just put on the table play sitting there take the Yellow Block and place it next to it take one more block put it on top of those two blocks stop you are done,46,45,43,2,0,1,,,0.93,0.0652174,45,43,2,0,1,0.93,0.06521739,Male,GeneralAmerican,English,US
22,29d3e836_Script02.wav,Go there Grasp this purple block Now put it in front of the cup Pick up the block that you just put down Now move that block and put it on top of these boxes Wait Move it more this way to the left Stop,go there grasp this purple block now put it in front of the cup pick up the block that you just put down now move that block and put it on top of these boxes weight move it more this way to the left Stop,45,45,44,1,0,0,,,0.97,0.0222222,45,44,1,0,0,0.97,0.022222223,Male,GeneralAmerican,English,US
23,29d3e836_Script03.wav,Take that red block Grab it and place it above these brown blocks Turn the block that is beside the white block to the right Never mind Take that block and put it behind the blue block That is enough,take that red block grab it and place it above these Brown blocks turn the block that is beside the white block to the right nevermind take that block and put it behind the Blue Block that is enough,40,39,38,1,0,1,,,0.95,0,39,38,0,0,0,1,0,Male,GeneralAmerican,English,US
24,29d3e836_Script04.wav,OK turn left No your left Move the orange block to the right of that gray block Wait Grasp the black block Move it forward Put it next to that block Go here put this pink block between these ones That's pretty good,okay turn left no your left was the orange block to the right of that gray block weight grasp the Black Block move forward but it next to that block ghost here put this pink block between these ones that's pretty good,43,42,37,5,0,1,,,0.86,0.1395349,43,38,4,1,1,0.88,0.13953489,Male,GeneralAmerican,English,US
25,29d3e836_Script05.wav,There take that green plate and put it to the left of that mug OK scoot it back toward me Now push that glass behind that bottle there Now you're going to take this knife and drop it in the glass,they're take that green plate and put it to the left of that mug okay scoot it back toward me now push that glass behind that bottle there now you're going to take this nice and drop it in the glass,41,41,38,3,0,0,,,0.92,0.0731707,41,38,3,0,0,0.92,0.07317073,Male,GeneralAmerican,English,US
26,29d3eaac _Script01.wav,Put this blue block on the table Grab the block you just put on the table Place it there Take the yellow block and place it next to it Take one more block Put it on the top of those two blocks Stop you are done,this Blue Block on the table grab the block you just put on the table places there big the Yellow Block and place it next to eat one more block on the top of those two blocks stop you're done,46,40,36,4,0,6,,,0.78,0.2391304,40,35,5,0,6,0.76,0.23913044,Male,GeneralAmerican,Telungu,India
27,29d3eaac _Script02.wav,Go there Grasp this purple block Now put it in front of the cup Pick up the block that you just put down Now move that block and put it on top of these boxes Wait Move it more this way to the left Stop,go Deer Grass this purple block now pick up the block that you just put down now move that block and put it on the top of those boxes move it move this way to the left Stop,45,38,33,4,1,8,,,0.73,0.4222222,35,27,7,1,11,0.6,0.42222223,Male,GeneralAmerican,Telungu,India
28,29d3eaac _Script03.wav,Take that red block Grab it and place it above these brown blocks Turn the block that is beside the white block to the right Never mind Take that block and put it behind the blue block That is enough,Big Bird red block grab it and place it about these Brown blocks turn the block that is beside the white block the right never mind take that block and put it behind the Blue Block that is enough,40,39,36,3,0,1,,,0.9,0.2,38,32,6,0,2,0.8,0.2,Male,GeneralAmerican,Telungu,India
29,29d3eaac _Script04.wav,OK turn left No your left Move the orange block to the right of that gray block Wait Grasp the black block Move it forward Put it next to that block Go here put this pink block between these ones That's pretty good,okay turn left no you are left will the orange block to the right of the gray block weight Black Block move it forward,43,24,18,5,1,20,,,0.41,0.6046512,24,18,5,1,20,0.41,0.60465115,Male,GeneralAmerican,Telungu,India
30,29d3eaac _Script05.wav,There take that green plate and put it to the left of that mug OK scoot it back toward me Now push that glass behind that bottle there Now you're going to take this knife and drop it in the glass,babe take the green plate and put it to the left of the month okay scooting back toward me now with the glass behind that bottle there now we are going to take this knife and drop it in the glass,41,41,31,9,1,1,,,0.75,0.2682927,41,31,9,1,1,0.75,0.2682927,Male,GeneralAmerican,Telungu,India
31,29d3ecd2_Script01.wav,Put this blue block on the table Grab the block you just put on the table Place it there Take the yellow block and place it next to it Take one more block Put it on the top of those two blocks Stop you are done,put this Blue Block on the table grab the block you just put on the table place it there take the Yellow Block and play sit next to it take one more block put it on top of those two blocks stop you are.,46,44,41,3,0,2,,,0.89,0.1086957,44,41,3,0,2,0.89,0.10869565,Male,WestrenEnglish,English,US
32,29d3ecd2_Script02.wav,Go there Grasp this purple block Now put it in front of the cup Pick up the block that you just put down Now move that block and put it on top of these boxes Wait Move it more this way to the left Stop,go there craft this purple block now put it in front of the cup pick up the block that you just put down now move that block and put it on top of these boxes wait move it more this way to the left Stop,45,45,44,1,0,0,,,0.97,0.0444444,45,43,2,0,0,0.95,0.044444446,Male,WestrenEnglish,English,US
33,29d3ecd2_Script03.wav,Take that red block Grab it and place it above these brown blocks Turn the block that is beside the white block to the right Never mind Take that block and put it behind the blue block That is enough,take that red block grab it and place it above these Brown blocks turn the block that is beside the white block to the right never mind take that block and put it behind the Blue Block that is enough,40,40,40,0,0,0,,,1,0,40,40,0,0,0,1,0,Male,WestrenEnglish,English,US
34,29d3ecd2_Script04.wav,OK turn left No your left Move the orange block to the right of that gray block Wait Grasp the black block Move it forward Put it next to that block Go here put this pink block between these ones That's pretty good,okay turn left no you're left with the orange block to the right of that gray block weight grass the Black Block move it forward but it next to that block go here put this pink block between these ones that's pretty good,43,43,37,6,0,0,,,0.86,0.2093023,43,34,9,0,0,0.79,0.20930232,Male,WestrenEnglish,English,US
35,29d3ecd2_Script05.wav,There take that green plate and put it to the left of that mug OK scoot it back toward me Now push that glass behind that bottle there Now you're going to take this knife and drop it in the glass,they're take that green plate and put it to the left of that mug okay student back toward me now push that glass behind the bottle there now you're going to take this knife and drop it in the glass,41,40,36,4,0,1,,,0.87,0.1219512,40,36,4,0,1,0.87,0.12195122,Male,WestrenEnglish,English,US
36,29d3ee26_Script01.wav,Put this blue block on the table Grab the block you just put on the table Place it there Take the yellow block and place it next to it Take one more block Put it on the top of those two blocks Stop you are done,put this Blue Block on the table blockages put on the table place of death did the yellow Coke and place it next to it Define Modoc of those two blocks,46,31,24,7,0,15,,,0.52,0.5,29,23,6,0,17,0.5,0.5,Male,Indian,Hindi,India
37,29d3ee26_Script02.wav,Go there Grasp this purple block Now put it in front of the cup Pick up the block that you just put down Now move that block and put it on top of these boxes Wait Move it more this way to the left Stop,go to this purple block of the cup pick up the block that you just put down now move that block and put it on top of these boxes.,45,29,27,2,0,16,,,0.6,0.5333334,26,21,5,0,19,0.46,0.53333336,Male,Indian,Hindi,India
38,29d3ee26_Script03.wav,Take that red block Grab it and place it above these brown blocks Turn the block that is beside the white block to the right Never mind Take that block and put it behind the blue block That is enough,838 block of the blocks turn the block that is beside the bride walk to the light no man did the dog and put it behind the blue dog,40,29,17,12,0,11,,,0.42,0.6,28,16,12,0,12,0.4,0.6,Male,Indian,Hindi,India
39,29d3ee26_Script04.wav,OK turn left No your left Move the orange block to the right of that gray block Wait Grasp the black block Move it forward Put it next to that block Go here put this pink block between these ones That's pretty good,okay turn left no your left do the orange block to the right of the gray dog with a blog put it next to that block go here but this pink block between these ones there's pretty good,43,38,29,9,0,5,,,0.67,0.4418605,37,24,13,0,6,0.55,0.44186047,Male,Indian,Hindi,India
40,29d3ee26_Script05.wav,There take that green plate and put it to the left of that mug OK scoot it back toward me Now push that glass behind that bottle there Now you're going to take this knife and drop it in the glass,the accented and put it to the left out there mug okay scooter back toward me now push their class behind the bottle. Are you going to take this knife and drop it in the glass,41,36,24,12,0,5,,,0.58,0.4146341,36,24,12,0,5,0.58,0.41463414,Male,Indian,Hindi,India
41,29d3eef8_Script01.wav,Put this blue block on the table Grab the block you just put on the table Place it there Take the yellow block and place it next to it Take one more block Put it on the top of those two blocks Stop you are done,put this Blue Block on the table grab the block you just put on the table place it there take the Yellow Block and play sit next to it take one more block put it on the top of those two blocks stop you are done,46,46,44,2,0,0,,,0.95,0.0434783,46,44,2,0,0,0.95,0.04347826,Female,WestrenEnglish,English,US
42,29d3eef8_Script02.wav,Go there Grasp this purple block Now put it in front of the cup Pick up the block that you just put down Now move that block and put it on top of these boxes Wait Move it more this way to the left Stop,go there grass this purple block now put it in front of the cup pick up the blocks that you just put down now move that block and put it on top of these boxes weight limit more this way to the left Stop,45,44,40,4,0,1,,,0.88,0.0888889,44,41,3,0,1,0.91,0.08888889,Female,WestrenEnglish,English,US
43,29d3eef8_Script03.wav,Take that red block Grab it and place it above these brown blocks Turn the block that is beside the white block to the right Never mind Take that block and put it behind the blue block That is enough,take that red block grab it and place it above these Brown blocks turn the block that is beside the white block to the right never mind take that block and put it behind the Blue Block that is enough,40,40,40,0,0,0,,,1,0.1,39,36,3,0,1,0.9,0.1,Female,WestrenEnglish,English,US
44,29d3eef8_Script04.wav,OK turn left No your left Move the orange block to the right of that gray block Wait Grasp the black block Move it forward Put it next to that block Go here put this pink block between these ones That's pretty good,okay turn left no your left move the orange block to the right of that gray block weight graph the Black Block move it forward put it next to that block go here but does pink block between these ones that's pretty good,43,43,38,5,0,0,,,0.88,0.1162791,43,38,5,0,0,0.88,0.11627907,Female,WestrenEnglish,English,US
45,29d3eef8_Script05.wav,There take that green plate and put it to the left of that mug OK scoot it back toward me Now push that glass behind that bottle there Now you're going to take this knife and drop it in the glass,they're take that green plate and put it to the left of that mug okay screwed it back toward me not push that glass behind that bottle there now you're going to take this knife and drop it in the glass,41,41,37,4,0,0,,,0.9,0.097561,41,37,4,0,0,0.9,0.09756097,Female,WestrenEnglish,English,US
46,29d3effc_Script01.wav,Put this blue block on the table Grab the block you just put on the table Place it there Take the yellow block and place it next to it Take one more block Put it on the top of those two blocks Stop you are done,put this Blue Block on the table grab the block you just put on the table play sitter take the Yellow Block and place it next to eat take one more block put it on the top of those two blocks. You are done,46,44,40,4,0,2,,,0.86,0.1521739,44,39,5,0,2,0.84,0.1521739,Male,Moderate,Farsi,Iran
47,29d3effc_Script02.wav,Go there Grasp this purple block Now put it in front of the cup Pick up the block that you just put down Now move that block and put it on top of these boxes Wait Move it more this way to the left Stop,go there grass this purple work now put it in the front of the cup pick up the block that you just put down now move that block and put it on the top of those this black boxes wait move it more this way to the left Stop,45,49,42,3,4,0,,,0.93,0.2222222,48,39,5,4,1,0.86,0.22222222,Male,Moderate,Farsi,Iran
48,29d3effc_Script03.wav,Take that red block Grab it and place it above these brown blocks Turn the block that is beside the white block to the right Never mind Take that block and put it behind the blue block That is enough,take that red block grab it and place it about these Brown blocks turn the block that is beside the white block to the right nevermind take that block and put it behind the Blue Block that's enough,40,38,35,3,0,2,,,0.87,0.175,38,33,5,0,2,0.82,0.175,Male,Moderate,Farsi,Iran
49,29d3effc_Script04.wav,OK turn left No your left Move the orange block to the right of that gray block Wait Grasp the black block Move it forward Put it next to that block Go here put this pink block between these ones That's pretty good,okay turn left no your left move that orange block to the right of that gray block bait grasp the Black Block movies forward next to that block go here put this pink block between these ones that's pretty good,43,40,36,4,0,3,,,0.83,0.255814,39,32,7,0,4,0.74,0.25581396,Male,Moderate,Farsi,Iran
50,29d3effc_Script05.wav,There take that green plate and put it to the left of that mug OK scoot it back toward me Now push that glass behind that bottle there Now you're going to take this knife and drop it in the glass,dare take that green plate and put it to the left of that Mark okay I scooted back to work me now push that class behind that bottle there now you're going to take this knife and drop it in the glass,41,42,34,7,1,0,,,0.82,0.2195122,42,33,8,1,0,0.8,0.2195122,Male,Moderate,Farsi,Iran
51,29d3f1f0_Script01.wav,Put this blue block on the table Grab the block you just put on the table Place it there Take the yellow block and place it next to it Take one more block Put it on the top of those two blocks Stop you are done,put this Blue Block on the table grab the block you just put on the table place if they're take the Yellow Block and play sit next to it take one more block put it on top of those two blocks stop you're done,46,44,39,5,0,2,,,0.84,0.1956522,44,37,7,0,2,0.8,0.19565217,Female,GeneralAmerican,English,US
52,29d3f1f0_Script02.wav,Go there Grasp this purple block Now put it in front of the cup Pick up the block that you just put down Now move that block and put it on top of these boxes Wait Move it more this way to the left Stop,do their grass this purple block now put it in front of the cup take up the blocks that you just put down now move this block and put it on top of these boxes wait move it more this way to the left.,45,44,37,7,0,1,,,0.82,0.1555556,44,38,6,0,1,0.84,0.15555556,Female,GeneralAmerican,English,US
53,29d3f1f0_Script03.wav,Take that red block Grab it and place it above these brown blocks Turn the block that is beside the white block to the right Never mind Take that block and put it behind the blue block That is enough,take that red block grab it and places above these Brown blocks turn the blocks is beside the white block to the right never mind take that block and put it behind the Blue Block that is enough,40,38,36,2,0,2,,,0.9,0.25,35,30,5,0,5,0.75,0.25,Female,GeneralAmerican,English,US
54,29d3f1f0_Script04.wav,OK turn left No your left Move the orange block to the right of that gray block Wait Grasp the black block Move it forward Put it next to that block Go here put this pink block between these ones That's pretty good,okay turn left no your last move the orange block to the right of the gray block weight grass the block block move it forward put it next to that block go here at this pink blocks between these ones that's pretty good,43,43,35,8,0,0,,,0.81,0.4186046,34,25,9,0,9,0.58,0.41860464,Female,GeneralAmerican,English,US
